lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
14,50,128,3,0.85,,0,0,0,0.19047619,0.534753225,0.506305469,0,0,0,0,0.121212121,0.545454545,0.484848485,0.424242424,1.231534885
14,80,64,3,0.85,,0,0,0,0.183333333,0.551174108,0.461131625,0,0,0,0,0.121212121,0.560606061,0.478787879,0.439393939,1.195639066
14,50,64,3,0.85,,0,0,0,0.133333333,0.570475287,0.475900044,0,0,0,0,0.151515152,0.575757576,0.496969697,0.424242424,1.179708664
14,80,128,3,0.85,,0,0,0,0.133333333,0.560015847,0.470546562,0,0,0,0,0.136363636,0.560606061,0.481818182,0.424242424,1.163895742
14,50,32,3,0.85,,0,0,0,0.133333333,0.52913087,0.490099567,0,0,0,0,0.106060606,0.53030303,0.484848485,0.424242424,1.15256377
14,20,128,3,0.85,,0,0,0,0.2,0.468675935,0.483856078,0,0,0,0,0.136363636,0.53030303,0.448484848,0.393939394,1.152532013
14,80,256,3,0.85,,0,0,0,0.157142857,0.486591123,0.499587065,0,0,0,0,0.136363636,0.53030303,0.460606061,0.393939394,1.143321046
14,80,128,1,0.85,,0,0,0,0.213333333,0.365283688,0.559000747,0,0,0,0,0.121212121,0.53030303,0.457575758,0.409090909,1.137617768
14,5,256,3,0.85,,0,0,0,0,0.446983652,0.460428152,0.216666667,0,0,0,0.242424242,0.545454545,0.427272727,0.303030303,1.124078471
14,80,256,2,0.85,,0,0,0,0.133333333,0.425446875,0.56196999,0,0,0,0,0.090909091,0.53030303,0.472727273,0.439393939,1.120750199
14,5,64,3,0.85,,0,0,0,0.08,0.469825165,0.489073861,0.08,0,0,0,0.181818182,0.53030303,0.463636364,0.348484848,1.118899027
14,20,32,3,0.85,,0,0,0,0.133333333,0.466806295,0.506205542,0,0,0,0,0.106060606,0.53030303,0.463636364,0.424242424,1.10634517
14,80,32,3,0.85,,0,0,0,0.133333333,0.469653021,0.487596829,0,0,0,0,0.090909091,0.515151515,0.457575758,0.424242424,1.090583184
14,20,64,3,0.85,,0,0,0,0.05,0.522826221,0.50285591,0,0,0,0,0.151515152,0.575757576,0.481818182,0.424242424,1.075682132
14,5,128,3,0.85,,0,0,0,0,0.464782532,0.492741461,0.116363636,0,0,0,0.090909091,0.484848485,0.442424242,0.393939394,1.07388763
14,80,256,1,0.85,,0,0,0,0.133333333,0.388376954,0.546507351,0,0,0,0,0.196969697,0.590909091,0.454545455,0.393939394,1.068217638
14,5,64,1,0.85,,0,0,0,0.08,0.412488221,0.563115494,0,0,0,0,0.090909091,0.53030303,0.475757576,0.439393939,1.055603715
14,5,32,3,0.85,,0,0,0,0,0.520857649,0.531478849,0,0,0,0,0.151515152,0.575757576,0.490909091,0.424242424,1.052336498
14,20,64,2,0.85,,0,0,0,0.133333333,0.329453879,0.583938539,0,0,0,0,0.060606061,0.484848485,0.463636364,0.424242424,1.046725752
3,5,32,1,0.85,,0,0,0,0.233333333,0.26113852,0.551557892,0,0,0,0,0.073529412,0.485294118,0.435294118,0.411764706,1.046029745
14,50,256,3,0.85,,0,0,0,0,0.476661694,0.522391506,0.04,0,0,0,0.121212121,0.53030303,0.463636364,0.409090909,1.039053199
14,50,256,1,0.85,,0,0,0,0.133333333,0.353338475,0.55200116,0,0,0,0,0.136363636,0.515151515,0.448484848,0.378787879,1.038672968
14,5,256,2,0.85,,0,0,0,0.08,0.451641491,0.437421896,0.066666667,0,0,0,0.060606061,0.454545455,0.43030303,0.393939394,1.035730054
14,20,256,3,0.85,,0,0,0,0.066666667,0.407175094,0.519682984,0.04,0,0,0,0.121212121,0.515151515,0.436363636,0.393939394,1.033524745
14,20,128,1,0.85,,0,0,0,0.08,0.373869565,0.575943402,0,0,0,0,0.090909091,0.53030303,0.46969697,0.439393939,1.029812967
3,5,32,2,0.85,,0,0,0,0.233333333,0.254448161,0.54087085,0,0,0,0,0.044117647,0.455882353,0.435294118,0.411764706,1.028652344
14,20,128,2,0.85,,0,0,0,0.08,0.392841199,0.549493476,0,0,0,0,0.090909091,0.484848485,0.454545455,0.393939394,1.022334675
14,5,32,1,0.85,,0,0,0,0.08,0.374866712,0.565319642,0,0,0,0,0.136363636,0.53030303,0.466666667,0.393939394,1.020186354
14,20,256,1,0.85,,0,0,0,0.08,0.367102737,0.571883269,0,0,0,0,0.121212121,0.53030303,0.466666667,0.409090909,1.018986006
7,20,256,3,0.85,,0,0,0,0.057142857,0.397668238,0.50605776,0.057142857,0,0,0,0.029850746,0.447761194,0.426865672,0.417910448,1.018011712
7,20,128,3,0.85,,0,0,0,0,0.48415422,0.532433409,0,0,0,0,0.029850746,0.47761194,0.468656716,0.447761194,1.016587628
14,20,32,2,0.85,,0,0,0,0.133333333,0.293398268,0.582652466,0,0,0,0,0.075757576,0.5,0.460606061,0.424242424,1.009384068
3,50,128,2,0.85,,0,0,0,0.1,0.401086644,0.508064508,0,0,0,0,0.132352941,0.514705882,0.444117647,0.382352941,1.009151152
7,50,256,3,0.85,,0,0,0,0,0.424866606,0.515972516,0.066666667,0,0,0,0.149253731,0.52238806,0.447761194,0.373134328,1.007505789
14,50,32,2,0.85,,0,0,0,0.133333333,0.273445378,0.600192277,0,0,0,0,0.106060606,0.515151515,0.466666667,0.409090909,1.006970988
3,50,128,1,0.85,,0,0,0,0.1,0.406866657,0.496056102,0,0,0,0,0.147058824,0.529411765,0.435294118,0.382352941,1.002922759
14,5,128,1,0.85,,0,0,0,0.08,0.395080258,0.527275265,0,0,0,0,0.151515152,0.545454545,0.451515152,0.393939394,1.002355524
14,5,32,2,0.85,,0,0,0,0,0.415320249,0.577633599,0,0,0,0,0.121212121,0.545454545,0.490909091,0.424242424,0.992953848
3,20,32,1,0.85,,0,0,0,0.166666667,0.293650319,0.532001218,0,0,0,0,0.117647059,0.485294118,0.432352941,0.367647059,0.992318204
3,50,64,2,0.85,,0,0,0,0.1,0.423440295,0.467064645,0,0,0,0,0.058823529,0.455882353,0.423529412,0.397058824,0.990504939
14,80,64,1,0.85,,0,0,0,0.08,0.339944411,0.567080711,0,0,0,0,0.106060606,0.53030303,0.457575758,0.424242424,0.987025122
14,50,64,1,0.85,,0,0,0,0.08,0.346637186,0.55855863,0,0,0,0,0.075757576,0.5,0.454545455,0.424242424,0.985195817
14,80,64,2,0.85,,0,0,0,0.133333333,0.273117127,0.575255732,0,0,0,0,0.075757576,0.484848485,0.442424242,0.409090909,0.981706192
7,80,128,3,0.85,,0,0,0,0,0.456632398,0.522940061,0,0,0,0,0.104477612,0.52238806,0.468656716,0.417910448,0.979572459
7,5,128,3,0.85,,0,0,0,0.05,0.44508236,0.484396399,0,0,0,0,0.194029851,0.552238806,0.441791045,0.358208955,0.97947876
14,50,128,1,0.85,,0,0,0,0.08,0.33520423,0.563746775,0,0,0,0,0.121212121,0.515151515,0.451515152,0.393939394,0.978951005
3,80,128,2,0.85,,0,0,0,0.1,0.366491978,0.510974183,0,0,0,0,0.058823529,0.470588235,0.432352941,0.411764706,0.977466161
7,5,256,3,0.85,,0,0,0.066666667,0.028571429,0.381511402,0.398315185,0.1,0,0,0,0.104477612,0.462686567,0.394029851,0.358208955,0.975064682
14,5,128,2,0.85,,0,0,0,0.08,0.387192781,0.503910037,0,0,0,0,0.075757576,0.46969697,0.433333333,0.393939394,0.971102818
3,20,256,3,0.85,,0,0,0,0,0.434754731,0.532734396,0,0,0,0,0.102941176,0.514705882,0.461764706,0.411764706,0.967489128
14,5,256,1,0.85,,0,0,0,0.08,0.384291452,0.503176607,0,0,0,0,0.060606061,0.46969697,0.445454545,0.409090909,0.967468058
7,5,256,1,0.85,,0,0,0,0.08,0.400213359,0.485960525,0,0,0,0,0.119402985,0.47761194,0.426865672,0.358208955,0.966173885
3,20,64,3,0.85,,0,0,0,0.1,0.372565452,0.493425742,0,0,0,0,0.058823529,0.455882353,0.420588235,0.397058824,0.965991193
14,50,128,2,0.85,,0,0,0,0.133333333,0.269224679,0.558755488,0,0,0,0,0.106060606,0.46969697,0.43030303,0.363636364,0.9613135
14,80,32,2,0.85,,0,0,0,0.133333333,0.234277342,0.59325259,0,0,0,0,0.075757576,0.484848485,0.454545455,0.409090909,0.960863266
14,50,64,2,0.85,,0,0,0,0.133333333,0.238295515,0.587675134,0,0,0,0,0.060606061,0.484848485,0.448484848,0.424242424,0.959303982
3,80,32,2,0.85,,0,0,0,0.213333333,0.218258621,0.527522424,0,0,0,0,0.117647059,0.455882353,0.414705882,0.338235294,0.959114378
7,20,64,3,0.85,,0,0,0,0,0.423531556,0.532928158,0,0,0,0,0.164179104,0.537313433,0.450746269,0.373134328,0.956459714
14,20,64,1,0.85,,0,0,0,0.08,0.306382413,0.569479447,0,0,0,0,0.075757576,0.484848485,0.451515152,0.409090909,0.955861861
14,80,128,2,0.85,,0,0,0,0.1,0.287637684,0.567655838,0,0,0,0,0.121212121,0.5,0.439393939,0.378787879,0.955293522
3,80,128,1,0.85,,0,0,0,0.1,0.310424228,0.543566745,0,0,0,0,0.058823529,0.470588235,0.438235294,0.411764706,0.953990973
3,20,128,1,0.85,,0,0,0,0.1,0.339730094,0.514031361,0,0,0,0,0.088235294,0.485294118,0.423529412,0.397058824,0.953761456
3,20,256,1,0.85,,0,0,0,0.1,0.320569116,0.52489536,0,0,0,0,0.102941176,0.470588235,0.423529412,0.367647059,0.945464476
7,80,256,3,0.85,,0,0,0,0,0.439019185,0.500400834,0,0,0,0,0.134328358,0.492537313,0.447761194,0.358208955,0.939420019
7,5,64,2,0.85,,0,0,0,0,0.405952559,0.530704284,0,0,0,0,0.104477612,0.507462687,0.450746269,0.402985075,0.936656843
7,5,128,2,0.85,,0,0,0,0.05,0.402705803,0.483210973,0,0,0,0,0.149253731,0.52238806,0.429850746,0.373134328,0.935916776
3,20,64,2,0.85,,0,0,0,0.1,0.323173854,0.510601529,0,0,0,0,0.073529412,0.455882353,0.423529412,0.382352941,0.933775383
3,20,16,1,0.85,,0,0,0,0.08,0.307171815,0.545016302,0,0,0,0,0.161764706,0.529411765,0.438235294,0.367647059,0.932188117
3,50,32,2,0.85,,0,0,0,0,0.411771606,0.518950149,0,0,0,0,0.102941176,0.5,0.452941176,0.397058824,0.930721755
14,50,256,2,0.85,,0,0,0,0,0.37065618,0.558984417,0,0,0,0,0.060606061,0.484848485,0.451515152,0.424242424,0.929640597
3,80,256,1,0.85,,0,0,0,0.1,0.28974026,0.537020549,0,0,0,0,0.147058824,0.485294118,0.426470588,0.338235294,0.926760809
7,80,64,1,0.85,,0,0,0,0,0.388908939,0.529398914,0,0,0,0,0.134328358,0.507462687,0.441791045,0.373134328,0.918307853
3,80,32,1,0.85,,0,0,0,0.166666667,0.235763635,0.515227848,0,0,0,0,0.161764706,0.455882353,0.4,0.294117647,0.91765815
7,20,64,2,0.85,,0,0,0,0,0.374696406,0.541277732,0,0,0,0,0.164179104,0.52238806,0.43880597,0.358208955,0.915974138
3,50,256,2,0.85,,0,0,0,0,0.419402088,0.495673105,0,0,0,0,0.102941176,0.5,0.441176471,0.397058824,0.915075193
7,5,64,3,0.85,,0,0,0,0.066666667,0.369721254,0.478420088,0,0,0,0,0.104477612,0.462686567,0.414925373,0.358208955,0.914808009
3,80,64,2,0.85,,0,0,0,0.08,0.317410873,0.517247645,0,0,0,0,0.147058824,0.485294118,0.426470588,0.338235294,0.914658517
3,80,256,3,0.85,,0,0,0,0.1,0.326918425,0.485921385,0,0,0,0,0.102941176,0.455882353,0.408823529,0.352941176,0.912839811
3,50,16,2,0.85,,0,0,0,0,0.440328556,0.472356841,0,0,0,0,0.161764706,0.529411765,0.432352941,0.367647059,0.912685397
3,50,32,3,0.85,,0,0,0,0,0.42234556,0.48285842,0,0,0,0,0.220588235,0.529411765,0.438235294,0.308823529,0.90520398
7,50,128,3,0.85,,0,0,0,0,0.403744772,0.500168054,0,0,0,0,0.119402985,0.492537313,0.43880597,0.373134328,0.903912826
7,50,64,1,0.85,,0,0,0,0,0.37082619,0.531464907,0,0,0,0,0.179104478,0.537313433,0.43880597,0.358208955,0.902291097
7,20,32,1,0.85,,0,0,0,0,0.377049873,0.52487278,0,0,0,0,0.194029851,0.552238806,0.435820896,0.358208955,0.901922653
7,20,128,1,0.85,,0,0,0,0,0.357190415,0.544305506,0,0,0,0,0.164179104,0.537313433,0.43880597,0.373134328,0.901495921
3,20,32,2,0.85,,0,0,0,0.1,0.270552585,0.530649444,0,0,0,0,0.132352941,0.5,0.429411765,0.367647059,0.901202029
7,5,32,1,0.85,,0,0,0,0,0.372582251,0.528166766,0,0,0,0,0.194029851,0.552238806,0.43880597,0.358208955,0.900749017
3,5,16,1,0.85,,0,0,0,0.1,0.231729055,0.56866737,0,0,0,0,0.058823529,0.470588235,0.444117647,0.411764706,0.900396426
14,50,32,1,0.85,,0,0,0,0,0.349022774,0.550141537,0,0,0,0,0.121212121,0.515151515,0.442424242,0.393939394,0.899164311
3,50,128,3,0.85,,0,0,0,0,0.430492763,0.46719191,0,0,0,0,0.088235294,0.485294118,0.423529412,0.397058824,0.897684673
3,20,16,2,0.85,,0,0,0,0.066666667,0.275789076,0.554310521,0,0,0,0,0.205882353,0.544117647,0.432352941,0.338235294,0.896766263
3,50,256,3,0.85,,0,0,0,0,0.389142423,0.507002718,0,0,0,0,0.058823529,0.455882353,0.432352941,0.397058824,0.896145141
7,20,256,2,0.85,,0,0,0,0,0.365086371,0.527252729,0,0,0,0,0.104477612,0.492537313,0.426865672,0.388059701,0.892339099
3,50,32,1,0.85,,0,0,0,0,0.405580555,0.486058845,0,0,0,0,0.176470588,0.544117647,0.420588235,0.367647059,0.891639399
3,80,64,3,0.85,,0,0,0,0.1,0.230060716,0.561248151,0,0,0,0,0.058823529,0.455882353,0.429411765,0.397058824,0.891308868
14,20,256,2,0.85,,0,0,0,0,0.302716602,0.543725252,0.044444444,0,0,0,0.075757576,0.46969697,0.427272727,0.393939394,0.890886299
7,80,64,3,0.85,,0,0,0,0,0.376719027,0.513283319,0,0,0,0,0.119402985,0.47761194,0.432835821,0.358208955,0.890002347
3,80,16,1,0.85,,0,0,0,0.2,0.111102367,0.578161621,0,0,0,0,0.161764706,0.470588235,0.423529412,0.308823529,0.889263988
3,50,16,1,0.85,,0,0,0,0,0.399802562,0.486010602,0,0,0,0,0.132352941,0.485294118,0.420588235,0.352941176,0.885813164
7,80,64,2,0.85,,0,0,0,0,0.355377355,0.52934011,0,0,0,0,0.149253731,0.507462687,0.435820896,0.358208955,0.884717465
7,20,128,2,0.85,,0,0,0,0,0.359768123,0.524522918,0,0,0,0,0.164179104,0.507462687,0.426865672,0.343283582,0.884291041
7,80,256,1,0.85,,0,0,0,0,0.370924411,0.510723773,0,0,0,0,0.149253731,0.52238806,0.426865672,0.373134328,0.881648184
3,20,256,2,0.85,,0,0,0,0,0.377077045,0.503579057,0,0,0,0,0.058823529,0.455882353,0.432352941,0.397058824,0.880656102
3,50,64,1,0.85,,0,0,0,0,0.402046426,0.478497003,0,0,0,0,0.176470588,0.529411765,0.420588235,0.352941176,0.880543429
3,20,64,1,0.85,,0,0,0,0,0.356832168,0.522191779,0,0,0,0,0.117647059,0.5,0.432352941,0.382352941,0.879023948
14,20,32,1,0.85,,0,0,0,0,0.332863298,0.546041102,0,0,0,0,0.151515152,0.515151515,0.436363636,0.363636364,0.8789044
7,80,128,1,0.85,,0,0,0,0,0.357677309,0.518286312,0,0,0,0,0.149253731,0.492537313,0.423880597,0.343283582,0.875963622
7,80,32,1,0.85,,0,0,0,0,0.342638325,0.532256036,0,0,0,0,0.134328358,0.507462687,0.429850746,0.373134328,0.874894361
7,50,256,2,0.85,,0,0,0,0,0.370297377,0.504362589,0,0,0,0,0.119402985,0.47761194,0.420895522,0.358208955,0.874659966
3,20,128,3,0.85,,0,0,0,0,0.335507246,0.539095943,0,0,0,0,0.088235294,0.485294118,0.441176471,0.397058824,0.87460319
3,50,256,1,0.85,,0,0,0,0,0.39339782,0.480632559,0,0,0,0,0.147058824,0.5,0.417647059,0.352941176,0.874030379
7,50,64,2,0.85,,0,0,0,0,0.352649388,0.52126777,0,0,0,0,0.149253731,0.492537313,0.426865672,0.343283582,0.873917158
7,20,256,1,0.85,,0,0,0,0,0.348247448,0.522610983,0,0,0,0,0.194029851,0.552238806,0.426865672,0.358208955,0.870858431
14,80,32,1,0.85,,0,0,0,0,0.311817406,0.558207565,0,0,0,0,0.106060606,0.484848485,0.439393939,0.378787879,0.870024971
7,80,256,2,0.85,,0,0,0,0,0.353069143,0.516795548,0,0,0,0,0.119402985,0.47761194,0.429850746,0.358208955,0.869864691
7,80,128,2,0.85,,0,0,0,0,0.346197886,0.523462546,0,0,0,0,0.164179104,0.52238806,0.423880597,0.358208955,0.869660432
7,50,64,3,0.85,,0,0,0,0,0.363453537,0.506154875,0,0,0,0,0.104477612,0.47761194,0.429850746,0.373134328,0.869608412
